Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2022-09-28,7266.8193359375,7354.108457089903,7201.352495073198,7201.352495073198,89153400
2022-09-29,7310.46435546875,7375.931200443097,7266.819792152519,7266.819792152519,62643700
2022-09-30,7463.22021484375,7485.042496173703,7223.175120214273,7310.464245534083,176524800
2022-10-03,7419.576171875,7441.398454733456,7375.9316061580885,7375.9316061580885,115079600
2022-10-04,7463.22021484375,7528.687058833608,7441.397933513798,7441.397933513798,80524500
2022-10-05,7375.931640625,7463.220772466716,7354.109357664571,7441.398489506287,63788000
2022-10-06,7354.10888671875,7419.575731407641,7354.10888671875,7397.753449844678,43967400
2022-10-07,7157.70849609375,7310.464470095751,7157.70849609375,7266.819906095179,112043400
2022-10-10,7244.998046875,7310.46489669616,7092.242063958961,7114.064347232681,80238200
2022-10-11,7201.353515625,7244.998082386363,7114.064382102272,7157.708948863636,64060000
2022-10-12,7266.8193359375,7266.8193359375,7135.885654208897,7157.707934496997,47569700
2022-10-13,7223.17529296875,7310.464420376227,7223.17529296875,7223.17529296875,62282800
2022-10-14,7201.353515625,7288.642649147727,7201.353515625,7244.998082386363,70642900
2022-10-17,7201.353515625,7244.998082386363,7135.886665482954,7201.353515625,56387500
2022-10-18,7244.998046875,7397.75402979104,7201.353480327561,7223.175763601281,85665300
2022-10-19,7223.17529296875,7288.6421385243575,7179.530729265011,7201.35301111688,66753500
2022-10-20,7419.576171875,7419.576171875,7201.353343290441,7201.353343290441,91812300
2022-10-21,7550.50927734375,7615.976120788927,7375.931028156611,7375.931028156611,122777800
2022-10-24,7768.732421875,7768.732421875,7615.97644728757,7637.798729371489,89416500
2022-10-25,7594.15478515625,7746.910772213991,7594.15478515625,7703.266204483208,84696300
2022-10-26,7463.22021484375,7550.50934016356,7463.22021484375,7528.687058833608,98962100
2022-10-27,7594.15478515625,7594.15478515625,7463.221081963901,7463.221081963901,77003400
2022-10-28,7637.7978515625,7637.7978515625,7550.508733258929,7550.508733258929,84980600
2022-10-31,7681.443359375,7725.0879239169035,7659.621077104048,7725.0879239169035,138922800
2022-11-01,7681.443359375,7856.021617542613,7615.976512562144,7856.021617542613,118118400
2022-11-02,7637.7978515625,7703.264690290179,7615.975571986608,7681.442410714286,68323600
2022-11-03,7681.443359375,7703.265641645951,7594.154230291193,7594.154230291193,81856300
2022-11-04,7659.62158203125,7681.443865740741,7572.332447193287,7659.62158203125,84458300
2022-11-07,7725.087890625,7725.087890625,7572.331915386652,7615.976479740466,94794000
2022-11-08,7637.7978515625,7746.909249441965,7615.975571986608,7725.086969866072,42525500
2022-11-09,7746.90966796875,7746.90966796875,7572.331421930018,7572.331421930018,96599500
2022-11-10,7681.443359375,7681.443359375,7615.976512562144,7615.976512562144,89463000
2022-11-11,7725.087890625,7790.55473715572,7703.265608448093,7768.732454978814,59597900
2022-11-14,7637.7978515625,7768.731529017858,7637.7978515625,7746.909249441965,49208200
2022-11-15,7681.443359375,7725.0879239169035,7637.7987948330965,7659.621077104048,59092900
2022-11-16,7506.865234375,7572.3320823492,7463.220669058866,7528.687517033067,143424800
2022-11-17,7615.97607421875,7703.265198278564,7506.864669143983,7528.686950158936,72679800
2022-11-18,7703.26611328125,7768.732964102337,7615.976978853134,7615.976978853134,83556900
2022-11-21,7615.97607421875,7768.732041323424,7615.97607421875,7746.90976030847,35901000
2022-11-22,7768.732421875,7812.376986042837,7725.0878577071635,7768.732421875,84684200
2022-11-23,7746.90966796875,7834.198790988116,7746.90966796875,7768.731948723592,84642100
2022-11-24,7856.021484375,7856.021484375001,7812.376920572917,7834.199202473958,53520800
2022-11-25,7834.19873046875,7856.021011055014,7768.731888709958,7856.021011055014,75048300
2022-11-28,7877.84423828125,7943.311087906855,7834.1996718641785,7899.666521489785,96209700
2022-11-29,7834.19873046875,7921.487852813806,7790.554169296222,7834.19873046875,91562100
2022-11-30,8117.888671875,8205.177797379032,7725.087607106855,7746.909888482864,644359600
2022-12-01,7856.021484375,8161.533430989583,7856.021484375001,8096.066585286459,155775400
2022-12-02,7799.0615234375,7864.783952005793,7799.0615234375,7799.0615234375,130982100
2022-12-05,7689.5244140625,7799.061798878205,7689.5244140625,7711.431891025642,114656300
2022-12-06,7601.89501953125,7667.61745485861,7514.265105761438,7645.709976416157,180553800
2022-12-07,7404.728515625,7514.265919702293,7404.728515625,7448.543477255917,229308700
2022-12-08,7448.54296875,7514.265406709558,7317.098092830882,7339.005572150735,172590100
2022-12-09,7514.26513671875,7536.1726152514575,7404.727744055211,7448.542701120627,90851300
2022-12-12,7623.80224609375,7623.80224609375,7426.634946625808,7470.449902063128,102851800
2022-12-13,7623.80224609375,7623.80224609375,7492.357379781789,7558.079812937769,104580200
2022-12-14,7558.08056640625,7623.803006114131,7470.450646795743,7536.173086503623,118164300
2022-12-15,7448.54296875,7536.1728860294115,7448.54296875,7514.265406709558,113255700
2022-12-16,7536.17236328125,7579.987318881722,7360.912540879361,7382.820018679597,181516700
2022-12-19,7579.98681640625,7623.80176910224,7536.17186371026,7579.98681640625,67482900
2022-12-20,7514.26513671875,7579.9875723168725,7492.357658186042,7492.357658186042,41243700
2022-12-21,7601.89501953125,7623.802497973704,7514.265105761438,7536.17258420389,33617700
2022-12-22,7514.26513671875,7601.895050849581,7514.26513671875,7579.9875723168725,59591500
2022-12-23,7448.54296875,7514.265406709558,7448.54296875,7470.450448069852,47393000
2022-12-26,7514.26513671875,7558.080093784165,7448.542701120627,7448.542701120627,20495900
2022-12-27,7536.17236328125,7579.987318881722,7514.264885481014,7536.17236328125,27193800
2022-12-28,7579.98681640625,7579.98681640625,7492.35691101427,7579.98681640625,40420200
2022-12-29,7514.26513671875,7536.1726152514575,7448.542701120627,7470.450179653334,47020900
2022-12-30,7492.357421875,7579.987333241959,7492.357421875,7514.26489971674,44681400
2023-01-02,7492.357421875,7536.17237755848,7448.54246619152,7514.26489971674,10653900
2023-01-03,7492.357421875,7536.17237755848,7470.44994403326,7492.357421875,27399100
2023-01-04,7317.09765625,7514.264958364522,7317.09765625,7470.450002339072,90918800
2023-01-05,7229.46728515625,7339.004668264678,7141.837378669507,7317.097191642993,128838500
2023-01-06,7273.2822265625,7295.189703148531,7098.022413874247,7098.022413874247,69286600
2023-01-09,7404.728515625,7404.728515625,7295.191111547707,7295.191111547707,86916900
2023-01-10,7163.7451171875,7382.819891413417,7141.837639764908,7360.912413990825,101759100
2023-01-11,7119.9306640625,7141.8381430288455,7010.393269230769,7054.208227163461,96069100
2023-01-12,7163.7451171875,7251.375026877867,7119.930162342316,7141.837639764908,103804600
2023-01-13,7054.2080078125,7163.74539923816,7032.300529527368,7141.837920953028,119748200
2023-01-16,7141.83837890625,7185.6533382860425,7054.208460146664,7054.208460146664,105710700
2023-01-17,7295.1904296875,7339.00538722316,7141.838078312688,7163.745557080518,88695900
2023-01-18,7273.2822265625,7295.189703148531,7163.744843632342,7185.6523202183735,96814600
2023-01-19,7295.1904296875,7317.09790845533,7229.467993384009,7317.09790845533,66391800
2023-01-20,7273.2822265625,7295.189703148531,7229.467273390437,7251.374749976469,96859500
